Region,Region Code,Year,Measure,Age,Value,Value Unit,Value Label,Null Reason
Gisborne,Gisborne Region,2006,Age in five-year groups for the census usually resident population count,Total people,44499,number,Number of people,
Gisborne,Gisborne Region,2013,Age in five-year groups for the census usually resident population count,0-4,3471,number,Number of people,
Gisborne,Gisborne Region,2013,Age in five-year groups for the census usually resident population count,5-9,3672,number,Number of people,
Gisborne,Gisborne Region,2013,Age in five-year groups for the census usually resident population count,10-14,3588,number,Number of people,
Gisborne,Gisborne Region,2013,Age in five-year groups for the census usually resident population count,15-19,3051,number,Number of people,
Gisborne,Gisborne Region,2013,Age in five-year groups for the census usually resident population count,20-24,2502,number,Number of people,
Gisborne,Gisborne Region,2013,Age in five-year groups for the census usually resident population count,25-29,2298,number,Number of people,
Gisborne,Gisborne Region,2013,Age in five-year groups for the census usually resident population count,30-34,2286,number,Number of people,
Gisborne,Gisborne Region,2013,Age in five-year groups for the census usually resident population count,35-39,2526,number,Number of people,
Gisborne,Gisborne Region,2013,Age in five-year groups for the census usually resident population count,40-44,2880,number,Number of people,
Gisborne,Gisborne Region,2013,Age in five-year groups for the census usually resident population count,45-49,2856,number,Number of people,
Gisborne,Gisborne Region,2013,Age in five-year groups for the census usually resident population count,50-54,3048,number,Number of people,
Gisborne,Gisborne Region,2013,Age in five-year groups for the census usually resident population count,55-59,2820,number,Number of people,
Gisborne,Gisborne Region,2013,Age in five-year groups for the census usually resident population count,60-64,2535,number,Number of people,
Gisborne,Gisborne Region,2013,Age in five-year groups for the census usually resident population count,65-*,6126,number,Number of people,
Gisborne,Gisborne Region,2013,Age in five-year groups for the census usually resident population count,Total people,43653,number,Number of people,
Gisborne,Gisborne Region,2001,Age in broad groups for the census usually resident population count,*-14,12087,number,Number of people,
Gisborne,Gisborne Region,2001,Age in broad groups for the census usually resident population count,15-64,26724,number,Number of people,
Gisborne,Gisborne Region,2001,Age in broad groups for the census usually resident population count,65-*,5160,number,Number of people,
Gisborne,Gisborne Region,2001,Age in broad groups for the census usually resident population count,Total people,43974,number,Number of people,
